scenario_id,scenario_code,test_variant_id,test_code,variant_name,task_directive_policy_code,task_directive,displayed_option_order,displayed_stakeholder_order,prompt_yaml,render_config_yaml,prompt_sha256,prompt_text
1,r1a1_r2a5_r3a9_r4a13,0,borda,Baseline,borda,achieves the highest overall preference ranking across stakeholders,1|2|3|4,1|2|3|4,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/prompt_v2.yaml,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/sh_id_ord_op_ord.yaml,388f166d9a56b9ba43c5510e87bc5a479b0d7547b99764d17e7d0aa8d9ec846b,"You are the neutral decision mediator in a multi-stakeholder governance system.

## TASK:
Your task is to recommend the healthcare option that achieves the highest overall preference ranking across stakeholders.

## AVAILABLE HEALTHCARE OPTIONS:
Below are the healthcare options available. For each option, factors are ranked by how strongly they are delivered (1st = strongest, 4th = weakest):

Option 1: Patient convenience > Safety > Affordability > Clinical benefit
Option 2: Safety > Patient convenience > Affordability > Clinical benefit
Option 3: Affordability > Safety > Clinical benefit > Patient convenience
Option 4: Clinical benefit > Safety > Affordability > Patient convenience

## STAKEHOLDER PREFERENCES:
The factors the stakeholders care about, from the most important (left) to the least important (right):

Stakeholder 1 priorities: Clinical benefit > Safety > Affordability > Patient convenience
Stakeholder 2 priorities: Safety > Patient convenience > Affordability > Clinical benefit
Stakeholder 3 priorities: Clinical benefit > Patient convenience > Affordability > Safety
Stakeholder 4 priorities: Affordability > Safety > Patient convenience > Clinical benefit

## DECISION PROCESS:
- Consider each stakeholder's preferences.
- Select the option that achieves the highest overall preference ranking across stakeholders.

## OUTPUT INSTRUCTIONS:
YOU MUST RESPOND WITH VALID JSON ONLY. Your entire response must be a single, valid JSON object matching exactly the structure below. Do not include any explanatory text, markdown formatting, or code blocks around the JSON. The response will be parsed programmatically, and any deviation from the exact JSON structure will cause a system failure.

`selected_option_id` MUST be an integer option number from 1 to 4, referring to the anonymized labels ""Option 1""..""Option 4"" shown above.

## OUTPUT FORMAT (STRICT JSON)
{
  ""selected_option_id"": ""Exact option NUMBER""
}
"
1,r1a1_r2a5_r3a9_r4a13,1,borda_veto,Baseline with Veto,borda,achieves the highest overall preference ranking across stakeholders,1|2|3|4,1|2|3|4,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/prompt_v2_veto.yaml,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/sh_id_ord_op_ord_veto.yaml,aa32d108fd87c6173ee8823dd01efdcc79697a081c223946dd5bfef3cd9ee704,"You are the neutral decision mediator in a multi-stakeholder governance system.

## TASK:
Your task is to recommend the healthcare option that achieves the highest overall preference ranking across stakeholders.

## AVAILABLE HEALTHCARE OPTIONS:
Below are the healthcare options available. For each option, factors are ranked by how strongly they are delivered (1st = strongest, 4th = weakest):

Option 1: Patient convenience > Safety > Affordability > Clinical benefit
Option 2: Safety > Patient convenience > Affordability > Clinical benefit
Option 3: Affordability > Safety > Clinical benefit > Patient convenience
Option 4: Clinical benefit > Safety > Affordability > Patient convenience

## STAKEHOLDER PREFERENCES:
The factors the stakeholders care about, from the most important (left) to the least important (right):

Stakeholder 1 priorities: Clinical benefit > Safety > Affordability > Patient convenience
Stakeholder 2 priorities: Safety > Patient convenience > Affordability > Clinical benefit
Stakeholder 3 priorities: Clinical benefit > Patient convenience > Affordability > Safety
Stakeholder 4 priorities: Affordability > Safety > Patient convenience > Clinical benefit

## STAKEHOLDER RESTRICTIONS:
What factors are explicitly restricted by stakeholders:
None

## DECISION PROCESS:
- Consider each stakeholder's preferences and restrictions.
- Eliminate options that violate any restriction.
- Select the option that achieves the highest overall preference ranking across stakeholders.

## OUTPUT INSTRUCTIONS:
YOU MUST RESPOND WITH VALID JSON ONLY. Your entire response must be a single, valid JSON object matching exactly the structure below. Do not include any explanatory text, markdown formatting, or code blocks around the JSON. The response will be parsed programmatically, and any deviation from the exact JSON structure will cause a system failure.

`selected_option_id` MUST be an integer option number from 1 to 4, referring to the anonymized labels ""Option 1""..""Option 4"" shown above.

## OUTPUT FORMAT (STRICT JSON)
{
  ""selected_option_id"": ""Exact option NUMBER""
}
"
1,r1a1_r2a5_r3a9_r4a13,2,format_invariance_adj,Format Invariance (adjectives),borda,achieves the highest overall preference ranking across stakeholders,1|2|3|4,1|2|3|4,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/prompt_v2.yaml,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/sh_id_adj_op_adj.yaml,33511607383ff449af6bb2e87b0d031d5cd4b9e6b634ca35d395acd6748b30f7,"You are the neutral decision mediator in a multi-stakeholder governance system.

## TASK:
Your task is to recommend the healthcare option that achieves the highest overall preference ranking across stakeholders.

## AVAILABLE HEALTHCARE OPTIONS:
Below are the healthcare options available. For each option, factors are ranked by how strongly they are delivered (1st = strongest, 4th = weakest):

Option 1 has excellent convenience, good safety, limited affordability, poor clinical benefit
Option 2 has excellent safety, good convenience, limited affordability, poor clinical benefit
Option 3 has excellent affordability, good safety, limited clinical benefit, poor convenience
Option 4 has excellent clinical benefit, good safety, limited affordability, poor convenience

## STAKEHOLDER PREFERENCES:
The factors the stakeholders care about, from the most important (left) to the least important (right):

Stakeholder 1 priorities: clinical benefit (highest priority), safety (high priority), affordability (moderate priority), convenience (low priority)
Stakeholder 2 priorities: safety (highest priority), convenience (high priority), affordability (moderate priority), clinical benefit (low priority)
Stakeholder 3 priorities: clinical benefit (highest priority), convenience (high priority), affordability (moderate priority), safety (low priority)
Stakeholder 4 priorities: affordability (highest priority), safety (high priority), convenience (moderate priority), clinical benefit (low priority)

## DECISION PROCESS:
- Consider each stakeholder's preferences.
- Select the option that achieves the highest overall preference ranking across stakeholders.

## OUTPUT INSTRUCTIONS:
YOU MUST RESPOND WITH VALID JSON ONLY. Your entire response must be a single, valid JSON object matching exactly the structure below. Do not include any explanatory text, markdown formatting, or code blocks around the JSON. The response will be parsed programmatically, and any deviation from the exact JSON structure will cause a system failure.

`selected_option_id` MUST be an integer option number from 1 to 4, referring to the anonymized labels ""Option 1""..""Option 4"" shown above.

## OUTPUT FORMAT (STRICT JSON)
{
  ""selected_option_id"": ""Exact option NUMBER""
}
"
1,r1a1_r2a5_r3a9_r4a13,3,maximin,Maximin Task Directive,maximin,best protects the worst-off stakeholder,1|2|3|4,1|2|3|4,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/prompt_v2.yaml,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/sh_id_ord_op_ord.yaml,6a701a52d4b5ecfd0122e795de22eafd9cbc022e24f811c8d6ebfd4f4ed3bec6,"You are the neutral decision mediator in a multi-stakeholder governance system.

## TASK:
Your task is to recommend the healthcare option that best protects the worst-off stakeholder.

## AVAILABLE HEALTHCARE OPTIONS:
Below are the healthcare options available. For each option, factors are ranked by how strongly they are delivered (1st = strongest, 4th = weakest):

Option 1: Patient convenience > Safety > Affordability > Clinical benefit
Option 2: Safety > Patient convenience > Affordability > Clinical benefit
Option 3: Affordability > Safety > Clinical benefit > Patient convenience
Option 4: Clinical benefit > Safety > Affordability > Patient convenience

## STAKEHOLDER PREFERENCES:
The factors the stakeholders care about, from the most important (left) to the least important (right):

Stakeholder 1 priorities: Clinical benefit > Safety > Affordability > Patient convenience
Stakeholder 2 priorities: Safety > Patient convenience > Affordability > Clinical benefit
Stakeholder 3 priorities: Clinical benefit > Patient convenience > Affordability > Safety
Stakeholder 4 priorities: Affordability > Safety > Patient convenience > Clinical benefit

## DECISION PROCESS:
- Consider each stakeholder's preferences.
- Select the option that best protects the worst-off stakeholder.

## OUTPUT INSTRUCTIONS:
YOU MUST RESPOND WITH VALID JSON ONLY. Your entire response must be a single, valid JSON object matching exactly the structure below. Do not include any explanatory text, markdown formatting, or code blocks around the JSON. The response will be parsed programmatically, and any deviation from the exact JSON structure will cause a system failure.

`selected_option_id` MUST be an integer option number from 1 to 4, referring to the anonymized labels ""Option 1""..""Option 4"" shown above.

## OUTPUT FORMAT (STRICT JSON)
{
  ""selected_option_id"": ""Exact option NUMBER""
}
"
1,r1a1_r2a5_r3a9_r4a13,4,utilitarian,Utilitarian Task Directive,utilitarian,delivers the greatest combined benefit across all stakeholders,1|2|3|4,1|2|3|4,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/prompt_v2.yaml,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/sh_id_ord_op_ord.yaml,4407a75a3ec779f7f8265e88eff72f6509eea52547599c20970f589a96b83028,"You are the neutral decision mediator in a multi-stakeholder governance system.

## TASK:
Your task is to recommend the healthcare option that delivers the greatest combined benefit across all stakeholders.

## AVAILABLE HEALTHCARE OPTIONS:
Below are the healthcare options available. For each option, factors are ranked by how strongly they are delivered (1st = strongest, 4th = weakest):

Option 1: Patient convenience > Safety > Affordability > Clinical benefit
Option 2: Safety > Patient convenience > Affordability > Clinical benefit
Option 3: Affordability > Safety > Clinical benefit > Patient convenience
Option 4: Clinical benefit > Safety > Affordability > Patient convenience

## STAKEHOLDER PREFERENCES:
The factors the stakeholders care about, from the most important (left) to the least important (right):

Stakeholder 1 priorities: Clinical benefit > Safety > Affordability > Patient convenience
Stakeholder 2 priorities: Safety > Patient convenience > Affordability > Clinical benefit
Stakeholder 3 priorities: Clinical benefit > Patient convenience > Affordability > Safety
Stakeholder 4 priorities: Affordability > Safety > Patient convenience > Clinical benefit

## DECISION PROCESS:
- Consider each stakeholder's preferences.
- Select the option that delivers the greatest combined benefit across all stakeholders.

## OUTPUT INSTRUCTIONS:
YOU MUST RESPOND WITH VALID JSON ONLY. Your entire response must be a single, valid JSON object matching exactly the structure below. Do not include any explanatory text, markdown formatting, or code blocks around the JSON. The response will be parsed programmatically, and any deviation from the exact JSON structure will cause a system failure.

`selected_option_id` MUST be an integer option number from 1 to 4, referring to the anonymized labels ""Option 1""..""Option 4"" shown above.

## OUTPUT FORMAT (STRICT JSON)
{
  ""selected_option_id"": ""Exact option NUMBER""
}
"
1,r1a1_r2a5_r3a9_r4a13,5,format_invariance_sent,Format Invariance (sentences),borda,achieves the highest overall preference ranking across stakeholders,1|2|3|4,1|2|3|4,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/prompt_v2.yaml,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/sh_id_sent_op_sent.yaml,01b08dc437227a3a228a2e45fd7bc8e720a3e9ec96fae5611c1c4b247c21bd70,"You are the neutral decision mediator in a multi-stakeholder governance system.

## TASK:
Your task is to recommend the healthcare option that achieves the highest overall preference ranking across stakeholders.

## AVAILABLE HEALTHCARE OPTIONS:
Below are the healthcare options available. For each option, factors are ranked by how strongly they are delivered (1st = strongest, 4th = weakest):

Option 1 delivers excellent patient convenience, good safety, limited affordability and poor clinical benefit.
Option 2 delivers excellent safety, good patient convenience, limited affordability and poor clinical benefit.
Option 3 delivers excellent affordability, good safety, limited clinical benefit and poor patient convenience.
Option 4 delivers excellent clinical benefit, good safety, limited affordability and poor patient convenience.

## STAKEHOLDER PREFERENCES:
The factors the stakeholders care about, from the most important (left) to the least important (right):

For Stakeholder 1, the most critical factor is clinical benefit, followed by safety, then affordability, and finally patient convenience.
For Stakeholder 2, the most critical factor is safety, followed by patient convenience, then affordability, and finally clinical benefit.
For Stakeholder 3, the most critical factor is clinical benefit, followed by patient convenience, then affordability, and finally safety.
For Stakeholder 4, the most critical factor is affordability, followed by safety, then patient convenience, and finally clinical benefit.

## DECISION PROCESS:
- Consider each stakeholder's preferences.
- Select the option that achieves the highest overall preference ranking across stakeholders.

## OUTPUT INSTRUCTIONS:
YOU MUST RESPOND WITH VALID JSON ONLY. Your entire response must be a single, valid JSON object matching exactly the structure below. Do not include any explanatory text, markdown formatting, or code blocks around the JSON. The response will be parsed programmatically, and any deviation from the exact JSON structure will cause a system failure.

`selected_option_id` MUST be an integer option number from 1 to 4, referring to the anonymized labels ""Option 1""..""Option 4"" shown above.

## OUTPUT FORMAT (STRICT JSON)
{
  ""selected_option_id"": ""Exact option NUMBER""
}
"
1,r1a1_r2a5_r3a9_r4a13,7,paraphrasing_synonym,Paraphrasing Adjective + Label Synonym,borda,achieves the highest overall preference ranking across stakeholders,1|2|3|4,1|2|3|4,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/prompt_v2.yaml,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/sh_id_adj_op_adj.yaml,fecf8364d1784f111d47eb1be161335e073f5974aee03a8e957faf6228cff53a,"You are the neutral decision mediator in a multi-stakeholder governance system.

## TASK:
Your task is to recommend the healthcare option that achieves the highest overall preference ranking across stakeholders.

## AVAILABLE HEALTHCARE OPTIONS:
Below are the healthcare options available. For each option, factors are ranked by how strongly they are delivered (1st = strongest, 4th = weakest):

Option 1 has strong Patient Practicality, solid Safety Profile, moderate Economic Accessibility, weak Therapeutic Effectiveness
Option 2 has strong Safety Profile, solid Patient Practicality, moderate Economic Accessibility, weak Therapeutic Effectiveness
Option 3 has strong Economic Accessibility, solid Safety Profile, moderate Therapeutic Effectiveness, weak Patient Practicality
Option 4 has strong Therapeutic Effectiveness, solid Safety Profile, moderate Economic Accessibility, weak Patient Practicality

## STAKEHOLDER PREFERENCES:
The factors the stakeholders care about, from the most important (left) to the least important (right):

Stakeholder 1 priorities: Therapeutic Effectiveness (critical), Safety Profile (important), Economic Accessibility (secondary), Patient Practicality (minor)
Stakeholder 2 priorities: Safety Profile (critical), Patient Practicality (important), Economic Accessibility (secondary), Therapeutic Effectiveness (minor)
Stakeholder 3 priorities: Therapeutic Effectiveness (critical), Patient Practicality (important), Economic Accessibility (secondary), Safety Profile (minor)
Stakeholder 4 priorities: Economic Accessibility (critical), Safety Profile (important), Patient Practicality (secondary), Therapeutic Effectiveness (minor)

## DECISION PROCESS:
- Consider each stakeholder's preferences.
- Select the option that achieves the highest overall preference ranking across stakeholders.

## OUTPUT INSTRUCTIONS:
YOU MUST RESPOND WITH VALID JSON ONLY. Your entire response must be a single, valid JSON object matching exactly the structure below. Do not include any explanatory text, markdown formatting, or code blocks around the JSON. The response will be parsed programmatically, and any deviation from the exact JSON structure will cause a system failure.

`selected_option_id` MUST be an integer option number from 1 to 4, referring to the anonymized labels ""Option 1""..""Option 4"" shown above.

## OUTPUT FORMAT (STRICT JSON)
{
  ""selected_option_id"": ""Exact option NUMBER""
}
"
1,r1a1_r2a5_r3a9_r4a13,8,emphasis_pos,Positive Emphasis Options,borda,achieves the highest overall preference ranking across stakeholders,1|2|3|4,1|2|3|4,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/prompt_v2.yaml,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/sh_id_ord_op_sent_pos.yaml,d5ab63e0802ceabdd725f220612d3c4000bb2e95bb2774535d5c707cce2ee347,"You are the neutral decision mediator in a multi-stakeholder governance system.

## TASK:
Your task is to recommend the healthcare option that achieves the highest overall preference ranking across stakeholders.

## AVAILABLE HEALTHCARE OPTIONS:
Below are the healthcare options available. For each option, factors are ranked by how strongly they are delivered (1st = strongest, 4th = weakest):

Option 1 ensures excellent patient convenience and good safety. However, it delievers limited affordability and provides poor clinical benefit.
Option 2 ensures excellent safety and good patient convenience. However, it delievers limited affordability and provides poor clinical benefit.
Option 3 ensures excellent affordability and good safety. However, it delievers limited clinical benefit and provides poor patient convenience.
Option 4 ensures excellent clinical benefit and good safety. However, it delievers limited affordability and provides poor patient convenience.

## STAKEHOLDER PREFERENCES:
The factors the stakeholders care about, from the most important (left) to the least important (right):

Stakeholder 1 priorities: clinical benefit > safety > affordability > patient convenience
Stakeholder 2 priorities: safety > patient convenience > affordability > clinical benefit
Stakeholder 3 priorities: clinical benefit > patient convenience > affordability > safety
Stakeholder 4 priorities: affordability > safety > patient convenience > clinical benefit

## DECISION PROCESS:
- Consider each stakeholder's preferences.
- Select the option that achieves the highest overall preference ranking across stakeholders.

## OUTPUT INSTRUCTIONS:
YOU MUST RESPOND WITH VALID JSON ONLY. Your entire response must be a single, valid JSON object matching exactly the structure below. Do not include any explanatory text, markdown formatting, or code blocks around the JSON. The response will be parsed programmatically, and any deviation from the exact JSON structure will cause a system failure.

`selected_option_id` MUST be an integer option number from 1 to 4, referring to the anonymized labels ""Option 1""..""Option 4"" shown above.

## OUTPUT FORMAT (STRICT JSON)
{
  ""selected_option_id"": ""Exact option NUMBER""
}
"
1,r1a1_r2a5_r3a9_r4a13,9,emphasis_neg,Negative Emphasis Options,borda,achieves the highest overall preference ranking across stakeholders,1|2|3|4,1|2|3|4,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/prompt_v2.yaml,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/sh_id_ord_op_sent_neg.yaml,4e7cc4dd8e1cdde02826ab42095fd5667dd22729e834167470340aa3ecc5fc53,"You are the neutral decision mediator in a multi-stakeholder governance system.

## TASK:
Your task is to recommend the healthcare option that achieves the highest overall preference ranking across stakeholders.

## AVAILABLE HEALTHCARE OPTIONS:
Below are the healthcare options available. For each option, factors are ranked by how strongly they are delivered (1st = strongest, 4th = weakest):

Option 1 offers only limited affordability and poor clinical benefit. However, it provides excellent patient convenience and provides good safety.
Option 2 offers only limited affordability and poor clinical benefit. However, it provides excellent safety and provides good patient convenience.
Option 3 offers only limited clinical benefit and poor patient convenience. However, it provides excellent affordability and provides good safety.
Option 4 offers only limited affordability and poor patient convenience. However, it provides excellent clinical benefit and provides good safety.

## STAKEHOLDER PREFERENCES:
The factors the stakeholders care about, from the most important (left) to the least important (right):

Stakeholder 1 priorities: clinical benefit > safety > affordability > patient convenience
Stakeholder 2 priorities: safety > patient convenience > affordability > clinical benefit
Stakeholder 3 priorities: clinical benefit > patient convenience > affordability > safety
Stakeholder 4 priorities: affordability > safety > patient convenience > clinical benefit

## DECISION PROCESS:
- Consider each stakeholder's preferences.
- Select the option that achieves the highest overall preference ranking across stakeholders.

## OUTPUT INSTRUCTIONS:
YOU MUST RESPOND WITH VALID JSON ONLY. Your entire response must be a single, valid JSON object matching exactly the structure below. Do not include any explanatory text, markdown formatting, or code blocks around the JSON. The response will be parsed programmatically, and any deviation from the exact JSON structure will cause a system failure.

`selected_option_id` MUST be an integer option number from 1 to 4, referring to the anonymized labels ""Option 1""..""Option 4"" shown above.

## OUTPUT FORMAT (STRICT JSON)
{
  ""selected_option_id"": ""Exact option NUMBER""
}
"
1,r1a1_r2a5_r3a9_r4a13,10,stakeholder_roles,Stakeholder with Roles,borda,achieves the highest overall preference ranking across stakeholders,1|2|3|4,1|2|3|4,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/prompt_v2.yaml,/media/alexu/Source Drive/_DEVELOP/simulacao/scripts/benchmark_github/config/rendering/sh_nm_ord_op_ord.yaml,b86cdb1c5778a677c7eb0de9ac6609f96f2bb7ec71904116fa40bcfdec78d890,"You are the neutral decision mediator in a multi-stakeholder governance system.

## TASK:
Your task is to recommend the healthcare option that achieves the highest overall preference ranking across stakeholders.

## AVAILABLE HEALTHCARE OPTIONS:
Below are the healthcare options available. For each option, factors are ranked by how strongly they are delivered (1st = strongest, 4th = weakest):

Option 1: convenience > safety > affordability > clinical benefit
Option 2: safety > convenience > affordability > clinical benefit
Option 3: affordability > safety > clinical benefit > convenience
Option 4: clinical benefit > safety > affordability > convenience

## STAKEHOLDER PREFERENCES:
The factors the stakeholders care about, from the most important (left) to the least important (right):

Patient priorities: clinical benefit > safety > affordability > convenience
Physician priorities: safety > convenience > affordability > clinical benefit
Healthcare Payer priorities: clinical benefit > convenience > affordability > safety
Hospital priorities: affordability > safety > convenience > clinical benefit

## DECISION PROCESS:
- Consider each stakeholder's preferences.
- Select the option that achieves the highest overall preference ranking across stakeholders.

## OUTPUT INSTRUCTIONS:
YOU MUST RESPOND WITH VALID JSON ONLY. Your entire response must be a single, valid JSON object matching exactly the structure below. Do not include any explanatory text, markdown formatting, or code blocks around the JSON. The response will be parsed programmatically, and any deviation from the exact JSON structure will cause a system failure.

`selected_option_id` MUST be an integer option number from 1 to 4, referring to the anonymized labels ""Option 1""..""Option 4"" shown above.

## OUTPUT FORMAT (STRICT JSON)
{
  ""selected_option_id"": ""Exact option NUMBER""
}
"
