model_name,run_index,scenario_id,scenario_code,test_variant_id,test_code,task_directive_policy_code,pool_membership,displayed_option_order,displayed_stakeholder_order,displayed_selected_option_id,canonical_selected_option_id,parse_valid,parse_error,borda_correct,maximin_correct,utilitarian_correct,maximin_ordinal_correct,rule_correct,displayed_winner_set,canonical_winner_set,is_correct,veto_violation,conflict_level,conflict_score,conflict_kendall_tau_avg,borda_winner_set,utilitarian_winner_set,maximin_winner_set,maximin_ordinal_winner_set
claude-sonnet-4-5-20250929,1,1,r1a1_r2a5_r3a9_r4a13,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,1,1,1,0,3,3,0,,medium,0.6111111111111112,0.6111111111111112,3,3|4,4,4
claude-sonnet-4-5-20250929,2,1,r1a1_r2a5_r3a9_r4a13,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,1,1,1,0,3,3,0,,medium,0.6111111111111112,0.6111111111111112,3,3|4,4,4
claude-sonnet-4-5-20250929,3,1,r1a1_r2a5_r3a9_r4a13,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,1,1,1,0,3,3,0,,medium,0.6111111111111112,0.6111111111111112,3,3|4,4,4
claude-sonnet-4-5-20250929,4,1,r1a1_r2a5_r3a9_r4a13,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,1,1,1,0,3,3,0,,medium,0.6111111111111112,0.6111111111111112,3,3|4,4,4
claude-sonnet-4-5-20250929,5,1,r1a1_r2a5_r3a9_r4a13,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,1,1,1,0,3,3,0,,medium,0.6111111111111112,0.6111111111111112,3,3|4,4,4
claude-sonnet-4-5-20250929,6,1,r1a1_r2a5_r3a9_r4a13,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,1,1,1,0,3,3,0,,medium,0.6111111111111112,0.6111111111111112,3,3|4,4,4
claude-sonnet-4-5-20250929,7,1,r1a1_r2a5_r3a9_r4a13,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,1,1,1,0,3,3,0,,medium,0.6111111111111112,0.6111111111111112,3,3|4,4,4
claude-sonnet-4-5-20250929,8,1,r1a1_r2a5_r3a9_r4a13,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,1,1,1,0,3,3,0,,medium,0.6111111111111112,0.6111111111111112,3,3|4,4,4
claude-sonnet-4-5-20250929,9,1,r1a1_r2a5_r3a9_r4a13,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,1,1,1,0,3,3,0,,medium,0.6111111111111112,0.6111111111111112,3,3|4,4,4
claude-sonnet-4-5-20250929,10,1,r1a1_r2a5_r3a9_r4a13,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,1,1,1,0,3,3,0,,medium,0.6111111111111112,0.6111111111111112,3,3|4,4,4
claude-sonnet-4-5-20250929,1,2,r1a1_r2a5_r3a9_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,2,2,1,,0,0,0,0,0,3|4,3|4,0,,medium,0.5833333333333334,0.5833333333333334,3|4,4,4,4
claude-sonnet-4-5-20250929,2,2,r1a1_r2a5_r3a9_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,2,2,1,,0,0,0,0,0,3|4,3|4,0,,medium,0.5833333333333334,0.5833333333333334,3|4,4,4,4
claude-sonnet-4-5-20250929,3,2,r1a1_r2a5_r3a9_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,2,2,1,,0,0,0,0,0,3|4,3|4,0,,medium,0.5833333333333334,0.5833333333333334,3|4,4,4,4
claude-sonnet-4-5-20250929,4,2,r1a1_r2a5_r3a9_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,3|4,3|4,1,,medium,0.5833333333333334,0.5833333333333334,3|4,4,4,4
claude-sonnet-4-5-20250929,5,2,r1a1_r2a5_r3a9_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,2,2,1,,0,0,0,0,0,3|4,3|4,0,,medium,0.5833333333333334,0.5833333333333334,3|4,4,4,4
claude-sonnet-4-5-20250929,6,2,r1a1_r2a5_r3a9_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,2,2,1,,0,0,0,0,0,3|4,3|4,0,,medium,0.5833333333333334,0.5833333333333334,3|4,4,4,4
claude-sonnet-4-5-20250929,7,2,r1a1_r2a5_r3a9_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,3|4,3|4,1,,medium,0.5833333333333334,0.5833333333333334,3|4,4,4,4
claude-sonnet-4-5-20250929,8,2,r1a1_r2a5_r3a9_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,2,2,1,,0,0,0,0,0,3|4,3|4,0,,medium,0.5833333333333334,0.5833333333333334,3|4,4,4,4
claude-sonnet-4-5-20250929,9,2,r1a1_r2a5_r3a9_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,3|4,3|4,1,,medium,0.5833333333333334,0.5833333333333334,3|4,4,4,4
claude-sonnet-4-5-20250929,10,2,r1a1_r2a5_r3a9_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,2,2,1,,0,0,0,0,0,3|4,3|4,0,,medium,0.5833333333333334,0.5833333333333334,3|4,4,4,4
claude-sonnet-4-5-20250929,1,3,r1a1_r2a5_r3a9_r4a15,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,2,3,r1a1_r2a5_r3a9_r4a15,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,3,3,r1a1_r2a5_r3a9_r4a15,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,4,3,r1a1_r2a5_r3a9_r4a15,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,5,3,r1a1_r2a5_r3a9_r4a15,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,6,3,r1a1_r2a5_r3a9_r4a15,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,7,3,r1a1_r2a5_r3a9_r4a15,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,8,3,r1a1_r2a5_r3a9_r4a15,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,9,3,r1a1_r2a5_r3a9_r4a15,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,10,3,r1a1_r2a5_r3a9_r4a15,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,1,4,r1a1_r2a5_r3a9_r4a16,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5555555555555556,0.5555555555555556,4,4,4,4
claude-sonnet-4-5-20250929,2,4,r1a1_r2a5_r3a9_r4a16,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5555555555555556,0.5555555555555556,4,4,4,4
claude-sonnet-4-5-20250929,3,4,r1a1_r2a5_r3a9_r4a16,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5555555555555556,0.5555555555555556,4,4,4,4
claude-sonnet-4-5-20250929,4,4,r1a1_r2a5_r3a9_r4a16,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5555555555555556,0.5555555555555556,4,4,4,4
claude-sonnet-4-5-20250929,5,4,r1a1_r2a5_r3a9_r4a16,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5555555555555556,0.5555555555555556,4,4,4,4
claude-sonnet-4-5-20250929,6,4,r1a1_r2a5_r3a9_r4a16,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5555555555555556,0.5555555555555556,4,4,4,4
claude-sonnet-4-5-20250929,7,4,r1a1_r2a5_r3a9_r4a16,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5555555555555556,0.5555555555555556,4,4,4,4
claude-sonnet-4-5-20250929,8,4,r1a1_r2a5_r3a9_r4a16,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5555555555555556,0.5555555555555556,4,4,4,4
claude-sonnet-4-5-20250929,9,4,r1a1_r2a5_r3a9_r4a16,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5555555555555556,0.5555555555555556,4,4,4,4
claude-sonnet-4-5-20250929,10,4,r1a1_r2a5_r3a9_r4a16,0,borda,borda,core_160|core_160_5,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5555555555555556,0.5555555555555556,4,4,4,4
claude-sonnet-4-5-20250929,1,6,r1a1_r2a5_r3a10_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,0,1,0,0,3,3,0,,medium,0.47222222222222227,0.47222222222222227,3,4,3,3
claude-sonnet-4-5-20250929,2,6,r1a1_r2a5_r3a10_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,0,1,0,0,3,3,0,,medium,0.47222222222222227,0.47222222222222227,3,4,3,3
claude-sonnet-4-5-20250929,3,6,r1a1_r2a5_r3a10_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,0,1,0,0,3,3,0,,medium,0.47222222222222227,0.47222222222222227,3,4,3,3
claude-sonnet-4-5-20250929,4,6,r1a1_r2a5_r3a10_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,0,1,0,0,3,3,0,,medium,0.47222222222222227,0.47222222222222227,3,4,3,3
claude-sonnet-4-5-20250929,5,6,r1a1_r2a5_r3a10_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,0,1,0,0,3,3,0,,medium,0.47222222222222227,0.47222222222222227,3,4,3,3
claude-sonnet-4-5-20250929,6,6,r1a1_r2a5_r3a10_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,0,1,0,0,3,3,0,,medium,0.47222222222222227,0.47222222222222227,3,4,3,3
claude-sonnet-4-5-20250929,7,6,r1a1_r2a5_r3a10_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,0,1,0,0,3,3,0,,medium,0.47222222222222227,0.47222222222222227,3,4,3,3
claude-sonnet-4-5-20250929,8,6,r1a1_r2a5_r3a10_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,0,1,0,0,3,3,0,,medium,0.47222222222222227,0.47222222222222227,3,4,3,3
claude-sonnet-4-5-20250929,9,6,r1a1_r2a5_r3a10_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,0,1,0,0,3,3,0,,medium,0.47222222222222227,0.47222222222222227,3,4,3,3
claude-sonnet-4-5-20250929,10,6,r1a1_r2a5_r3a10_r4a14,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,0,0,1,0,0,3,3,0,,medium,0.47222222222222227,0.47222222222222227,3,4,3,3
claude-sonnet-4-5-20250929,1,7,r1a1_r2a5_r3a10_r4a15,0,borda,borda,core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,2,7,r1a1_r2a5_r3a10_r4a15,0,borda,borda,core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,3,7,r1a1_r2a5_r3a10_r4a15,0,borda,borda,core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,4,7,r1a1_r2a5_r3a10_r4a15,0,borda,borda,core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,5,7,r1a1_r2a5_r3a10_r4a15,0,borda,borda,core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,6,7,r1a1_r2a5_r3a10_r4a15,0,borda,borda,core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,7,7,r1a1_r2a5_r3a10_r4a15,0,borda,borda,core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,8,7,r1a1_r2a5_r3a10_r4a15,0,borda,borda,core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,9,7,r1a1_r2a5_r3a10_r4a15,0,borda,borda,core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,10,7,r1a1_r2a5_r3a10_r4a15,0,borda,borda,core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,1,1,1,1,4,4,1,,medium,0.5277777777777778,0.5277777777777778,4,4,4,4
claude-sonnet-4-5-20250929,1,8,r1a1_r2a5_r3a10_r4a16,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,0,1,0,1,4,4,1,,medium,0.5,0.5,4,4,3,3
claude-sonnet-4-5-20250929,2,8,r1a1_r2a5_r3a10_r4a16,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,0,1,0,1,4,4,1,,medium,0.5,0.5,4,4,3,3
claude-sonnet-4-5-20250929,3,8,r1a1_r2a5_r3a10_r4a16,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,0,1,0,1,4,4,1,,medium,0.5,0.5,4,4,3,3
claude-sonnet-4-5-20250929,4,8,r1a1_r2a5_r3a10_r4a16,0,borda,borda,borda_ne_util_maximin|core_160|core_160_5|pareto_ge2,1|2|3|4,1|2|3|4,4,4,1,,1,0,1,0,1,4,4,1,,medium,0.5,0.5,4,4,3,3
